Kokoliko  Sunday analysis,SbjNum,Province,Districts,AREA TYPE,Gender,Number of Radio Sets,Number of Cars,LSM GROUP,Educational Qualification,Religion,Work Status,Social Class,Gross Monthly Income,Clothing P6M,Age Range,Kokoliko  Sunday
21:00  -  21:14,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20:30  -  20:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
21:30  -  21:44,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
20:45  -  20:59,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
21:15  -  21:29,60601687,Copperbelt,Chingola,Rural,Female,1,None,D,Some primary school,Other Christian,Self employed,D,Under K 849,No,45+,"20:30  -  20:44,20:45  -  20:59,21:00  -  21:14,21:15  -  21:29,21:30  -  21:44"
14:30  -  14:44,60635488,Copperbelt,Chingola,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,Do not know,Do not know,Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
15:00  -  15:14,60635488,Copperbelt,Chingola,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,Do not know,Do not know,Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
14:45  -  14:59,60635488,Copperbelt,Chingola,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,Do not know,Do not know,Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
14:15  -  14:29,60635488,Copperbelt,Chingola,Urban,Female,0,None,C1,Some high school,Other Christian,Self employed,Do not know,Do not know,Yes,45+,"14:15  -  14:29,14:30  -  14:44,14:45  -  14:59,15:00  -  15:14"
8:45  -  8:59,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
8:30  -  8:44,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
8:00  -  8:14,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
9:30  -  9:44,60637568,Copperbelt,Chingola,Urban,Female,0,None,D,No formal education,Other Christian,Unemployed [SEEKING A JOB],D,Under K 849,No,19 – 24,"7:00  -  7:14,7:15  -  7:29,7:30  -  7:44,7:45  -  7:59,8:00  -  8:14,8:15  -  8:29,8:30  -  8:44,8:45  -  8:59,9:00  -  9:14,9:15  -  9:29,9:30  -  9:44,9:45  -  9:59,10:00  -  10:14,10:15  -  10:29,10:30  -  10:44,10:45  -  10:59,11:00  -  11:14"
